"","*** Alcohol Soft/DAEMON Tools ***"
"aksifdh","Aladdin PCSC IFD Handler for eToken"
"aksup","Aladdin USB Pipe Driver for eToken"
"aksusb","Aladdin USB Minidriver"
"aku5232y","*** Alcohol Soft/DAEMON Tools ***"
"akw348sk","*** Alcohol Soft/DAEMON Tools ***"
"al0usuuu","*** Alcohol Soft/DAEMON Tools ***"
"al1gzr7h","*** Alcohol Soft/DAEMON Tools ***"
"al2av27k","*** Alcohol Soft/DAEMON Tools ***"
"al3u52mp","*** Alcohol Soft/DAEMON Tools ***"
"al5xcfew","*** Alcohol Soft/DAEMON Tools ***"
"al79o6j8","*** Alcohol Soft/DAEMON Tools ***"
"alcoholx","Alcohol Soft Virutal Device Control Library"
"ALCXSENS","Sensaura WDM 3D Audio Driver"
"ALCXWDM","Avance Logic Sound Card Driver"
"Aldebaran","NewSoft Technology SCSI Command Driver"
"aldil018","*** Alcohol Soft/DAEMON Tools ***"
"AlfaFF","AlfaFF Mini-Filter Monitor Network Driver"
"alfjreia","*** Alcohol Soft/DAEMON Tools ***"
"Alidevice","Windows NT Alipay Kernel Module"
"alifir","Ace ALi Fast Infrared Device Driver"
"aliide","ALi mini IDE Driver (Acer)"
"alim1541","Ali M1541 NT AGP Filter"
"AlKernel","Altiris Kernel Driver"
"allg6ol6","*** Alcohol Soft/DAEMON Tools ***"
"alnh5b3b","*** Alcohol Soft/DAEMON Tools ***"
"alogfile","AP/ACS Switch Control Audit Log Service"
"alogproc","AP/ACS Switch Control Audit Log Service"
"als4000","Avance ALS4000 Audio Driver"
"altio","Altium ALTIO Direct Port IO Access"
"alv79t0j","*** Alcohol Soft/DAEMON Tools ***"
"alww41m7","*** Alcohol Soft/DAEMON Tools ***"
"am01fvaa","*** Alcohol Soft/DAEMON Tools ***"
"am2qwtrb","*** Alcohol Soft/DAEMON Tools ***"
"am45vze4","*** Alcohol Soft/DAEMON Tools ***"
"am4p0278","*** Alcohol Soft/DAEMON Tools ***"
"am6dawtp","*** Alcohol Soft/DAEMON Tools ***"
"am7fin69","*** Alcohol Soft/DAEMON Tools ***"
"amaeo1zn","*** Alcohol Soft/DAEMON Tools ***"
"amagxepb","*** Alcohol Soft/DAEMON Tools ***"
"ambrapp","!!! PSP: 8Signs !!!"
"ambrim","!!! PSP: 8Signs !!!"
"amcqn5m9","*** Alcohol Soft/DAEMON Tools ***"
"amd751","AMD Win 2000 AGP Filter Driver"
"amdagp","AMD Win2000 AGP Filter"
"amdagp8p","AMD AGP Filter"
"amdbusdr","AMD IDE Bus Driver"
"amdeide","AMD IDE Driver"
"AmdIde","AMD IDE Driver"
"amdk5","*** DARKSKYLINE MENTAL ***"
"amdk7","AMD Processor Driver"
"AmdK8","AMD Processor Driver"
"amdk8","AMD Processor Driver"
"amdk92","*** UNKNOWN - PLEASE PULL BACK ***"
"AmdLLD","AMD Low Level Device Driver"
"AmdPci32","AMD 813x Bus-Filter Driver"
"AmdPPM","AMD Processor Driver"
"amdxata","AMD Storage Filter Driver"
"Amfilter","A4 Tech iWheelWorks Filter Driver"
"amjubl7q","*** Alcohol Soft/DAEMON Tools ***"
"amm8651","!!! PSP: Panda Security !!!"
"amon","!!! PSP: ESET Nod32 Anti-Virus !!!"
"AMonHKnt","!!! PSP: AhnLab V3 Internet Security !!!"
"AMonTDnt","!!! PSP: AhnLab V3 Internet Security !!!"
"amosnt","Conexant SoftK56 Modem Driver"
"Amps2prt","iWheelWorks Mouse Driver"
"amsint","AMD SCSI/NET Controller"
"Amusbprt","A4 Tech iWheelWorks USB Port Mouse Driver"
"amwfmh27","*** Alcohol Soft/DAEMON Tools ***"
"amyj9d5i","*** Alcohol Soft/DAEMON Tools ***"
"an4hgsgm","*** Alcohol Soft/DAEMON Tools ***"
"an5k8boy","*** Alcohol Soft/DAEMON Tools ***"
"AN983","ADMtek AN983/AN985/ADM951X NDIS5 Driver"
"ana0tvob","*** Alcohol Soft/DAEMON Tools ***"
"ANC","AMD IDE Driver"
"AnfdIont","!!! PSP: AhnLab V3 Internet Security !!!"
"AnfdTDnt","!!! PSP: AhnLab V3 Internet Security !!!"
"anhfspb3","*** Alcohol Soft/DAEMON Tools ***"
"anhtkdzq","*** Alcohol Soft/DAEMON Tools ***"
"anhu08po","*** Alcohol Soft/DAEMON Tools ***"
"ANIO","Alpha Networks ANIO (NT5) Driver"
"anl7id83","*** Alcohol Soft/DAEMON Tools ***"
"anodlwf","NDIS 6.0 Filter Driver"
"anqhtvtt","*** Alcohol Soft/DAEMON Tools ***"
"ansp4zgy","*** Alcohol Soft/DAEMON Tools ***"
"AntiArpNdisProt","Windows NDIS User Mode I/O Driver"
"AntiDrv","!!! PSP: 360Safe Security Center !!!"
"anuwcojb","*** Alcohol Soft/DAEMON Tools ***"
"ANV4DISP","NVIDIA Compatible Windows 2000 Display Driver"
"anvioctl","ASUS VGA Driver for NT"
"anvk0h0n","*** Alcohol Soft/DAEMON Tools ***"
"ANVMINI","ASUS nVIDIA Series NT Kernel Driver"
"anvosdnt","ASUS OSD Keyboard Filter Driver"
"anx5qsri","*** Alcohol Soft/DAEMON Tools ***"
"AnyDVD","SlySoft AnyDVD Filter Driver"
"AnyRouter","AnyView Virtual Network Miniport Driver"
"ao0iyjzl","*** Alcohol Soft/DAEMON Tools ***"
"aobdvnbo","*** Alcohol Soft/DAEMON Tools ***"
"AODDriver2","AMD OverDrive Performance Mgmt Driver"
"aok1zl8q","*** Alcohol Soft/DAEMON Tools ***"
"aokpfmd1","*** Alcohol Soft/DAEMON Tools ***"
"aom1kdkz","*** Alcohol Soft/DAEMON Tools ***"
"aomm7laq","*** Alcohol Soft/DAEMON Tools ***"
"aoxia9nq","*** Alcohol Soft/DAEMON Tools ***"
"aoyeivga","*** Alcohol Soft/DAEMON Tools ***"
"ap54eus6","*** Alcohol Soft/DAEMON Tools ***"
"ap78n0kq","*** Alcohol Soft/DAEMON Tools ***"
"Apaidi","*** KNOWN MALWARE - FOLLOW GUIDANCE ***"
"apd67akj","*** Alcohol Soft/DAEMON Tools ***"
"Apfiltr","Alps Pointing Device Driver"
"APFTrans","!!! PSP: Armor2net Personal Firewall !!!"
"apicdrvio","Intel Local APIC Driver"
"apirmon","*** UNKNOWN - PLEASE PULL BACK ***"
"apisetschema","Microsoft ApiSet Schema DLL"
"apnfy14s","*** Alcohol Soft/DAEMON Tools ***"
"APPDRV","Dell Application Support Driver"
"appdrv01","StarForce Protection Application Driver"
"APPFLT","!!! PSP: Panda Security !!!"
"appinit","*** PEDDLECHEAP ***"
"applebt","Apple Boot Camp Bluetooth Driver"
"AppleCharger","GIGABYTE ON/OFF Charge Driver"
"AppleHFS","Apple Boot Camp HFS Driver"
"AppleMNT","Apple Boot Camp Mount Manager"
"applemtp","Apple Multitouch Trackpad Driver"
"appned","*** SIG25 - FOLLOW GUIDANCE ***"
"apq48kvr","*** Alcohol Soft/DAEMON Tools ***"
"ApsHM86","IBM Access Connections"
"Apsx86","Lenovo ThinkVantage Active Protection"
"aq1mjygv","*** Alcohol Soft/DAEMON Tools ***"
"aq5fgpgc","*** Alcohol Soft/DAEMON Tools ***"
"aq9mnpai","*** Alcohol Soft/DAEMON Tools ***"
"aq9weedg","*** Alcohol Soft/DAEMON Tools ***"
"aqb2s3ze","*** Alcohol Soft/DAEMON Tools ***"
"aqg5s6cn","*** Alcohol Soft/DAEMON Tools ***"
"aqIPD","AutomatedQA Profiler Driver"
"aqjvsftj","*** Alcohol Soft/DAEMON Tools ***"
"aqpz3atm","*** Alcohol Soft/DAEMON Tools ***"
"aqq9ncs6","*** Alcohol Soft/DAEMON Tools ***"
"aqt77rym","*** Alcohol Soft/DAEMON Tools ***"
"aqvzehc5","*** Alcohol Soft/DAEMON Tools ***"
"ar1hnebj","*** Alcohol Soft/DAEMON Tools ***"
"ar4ji9ee","*** Alcohol Soft/DAEMON Tools ***"
"ar4juzvr","*** Alcohol Soft/DAEMON Tools ***"
"ar5211","D-Link Wireless Network Adaptec"
"ar5523","Atheros USB Wireless Network Adapter Driver"
"ar8tz4y1","*** Alcohol Soft/DAEMON Tools ***"
"arc","SCSI Port Driver"
"arccacdc","*** Alcohol Soft/DAEMON Tools ***"
"archlp","ArcSoft Secure Core Driver"
"arcm_x86","SCSI Port Driver for ARECA SATA RAID"
"arcs_x86","Areca x86-32 STORPORT SATA/SAS RAID Controller"
"arcsas","Adaptec SAS RAID WS03 Driver"
"ArcSoftKsUFilter","ArcSoft Magic-I Visual Effect"
"arhy002q","*** Alcohol Soft/DAEMON Tools ***"
"arndis","PrivateWire MiniKey USB Security Driver"
"aron8hco","*** Alcohol Soft/DAEMON Tools ***"
"ARP","!!! PSP: Agnitum Outpost Firewall !!!"
"arp1394","Microsoft IP/1394 Arp Client"
"art54j05","*** Alcohol Soft/DAEMON Tools ***"
"artmoney732","ArtMoney Game Cheating Application"
"arunjvct","*** Alcohol Soft/DAEMON Tools ***"
"arux0lqn","*** Alcohol Soft/DAEMON Tools ***"
"as55wuy0","*** Alcohol Soft/DAEMON Tools ***"
"as5yaqpg","*** Alcohol Soft/DAEMON Tools ***"
"as7zt1kq","*** Alcohol Soft/DAEMON Tools ***"
"asaavxiw","*** Alcohol Soft/DAEMON Tools ***"
"ASACPI","ATK0110 ACPI Utility Driver"
"Asapi","VOB Computer Systeme ASAPI Driver"
"ASAPIW2K","Pinnacle Systems CD-RW Filter Driver"
"asc","AdvanSys SCSI Controller Driver"
"asc3350p","AdvanSys SCSI Card Driver"
"asc3550","AdvanSys Ultra-Wide PCI SCSI Driver"
"ASCTRM","RealPlayer DRM Control"
"ASEDRV3","Athena ASEDrive III Smartcard Reader"
"AsfAlrt","Intel Pro Alerting Agent"
"ASFWHide","!!! PSP: AShampoo Firewall !!!"
"AsIO","ASUS Audio Stream In/Out Driver"
"aslm75","ASUS BIOS Driver"
"ASMMAP","Lenovo ATK0101 ACPI Utility Driver"
"ASNDIS5","PCAUSA NDIS 5.0 Protocol Driver"
"aspi32","Adaptec ASPI for Win32 Kernel Driver"
"Aspi32","Adaptec ASPI for Win32 Kernel Driver"
"ASPI32","Adaptec ASPI for WIN32 Kernel Driver"
"asrdev","HP Server ASR Agent Driver"
"astgrp","ASPEED AST2050 Display Driver"
"ASTGRV","ASPEED AST2050 Display Driver"
"ASTRA32","Sysinfo Lab Advanced System Information Tool"
"asusgsb","ASUS Virtual Video Capture Device Driver"
"asusgsb32","ASUS Virtual Video Capture Device Driver"
"asuskbnt","ASUS Help Driver for Keyboard Driver"
"AsusVRC","ASUSTeK Virtual Capture Device Driver"
"aswFsBlk","!!! PSP: Avast! AntiVirus !!!"
"aswMon","!!! PSP: Avast! AntiVirus !!!"
"aswMon2","!!! PSP: Avast! AntiVirus !!!"
"aswMonFlt","!!! PSP: Avast! AntiVirus !!!"
"aswRdr","!!! PSP: Avast! AntiVirus !!!"
"aswSnx","!!! PSP: Avast! AntiVirus !!!"
"aswSP","!!! PSP: Avast! AntiVirus !!!"
"aswTdi","!!! PSP: Avast! AntiVirus !!!"
"asyi6r44","*** Alcohol Soft/DAEMON Tools ***"
"AsyncMac","RAS Asynchronous Media Driver"
"ASZFltNt","!!! PSP: AhnLab V3 Internet Security !!!"
"at0vj6ab","*** Alcohol Soft/DAEMON Tools ***"
"AT2930m5","Allied Telesyn AT-2930 Network Driver"
"ATamptNt","!!! PSP: AhnLab V3 Internet Security !!!"
"atapi","Standard IDE/ESDI Hard Disk Controller"
"ataport","Windows ATA Port Driver"
"ataport32","*** SENTRYTRIBE MENTAL ***"
"atazlhm5","*** Alcohol Soft/DAEMON Tools ***"
"atbk8ort","*** Alcohol Soft/DAEMON Tools ***"
"atd4nxyn","*** Alcohol Soft/DAEMON Tools ***"
"Atdisk","Microsoft AT Disk Driver"
"ateksoftaudio","Ateksoft WebCamera Plus Audio Driver"
"athr","Atheros Extensible Wireless LAN Device Driver"
"athuw","Atheros AR9271 Wireless Network Adapter Driver"
"athw","Atheros AR5008 Wireless Network Adapter Driver"
"ati","ATI Display Miniport Driver"
"ati1mdxx","ATI Specialized MVD VBI Codec Driver"
"ati1rvxx","ATI WDM Rage Theater MiniDriver"
"ati1TTXX","ATI WDM Teletext Decoder"
"ati1tuxx","ATI WDM TVTuner MiniDriver"
"ati1xsxx","ATI WDM TVAUDIO_CrossBar MiniDriver"
"ati2cqag","ATI Display Driver"
"ati2drad","ATI Display Driver"
"ati2drah","ATI Display Driver"
"ati2dvaa","ATI RAGE 128 Windows NT Display Driver"
"ati2dvag","ATI Display Driver"
"ati2mpad","ATI - ati2mpad miniport driver"
"ati2mpah","ATI RAGE IIC Video Controller Driver"
"ati2mtaa","ATI Display Driver"
"ati2mtag","ATI Display Driver"
"ati3d1ag","ATI Display Driver"
"ati3d2ag","ATI Radeon DirectX Universal Driver"
"ati3duag","ATI Radeon DirectX Universal Driver"
"atidrab","ATI Video Driver"
"atidrae","ATIRAGE Display Driver"
"AtiHdAud","ATI High Definition Audio Function Driver"
"AtiHdmi","ATI HDMI Audio Driver"
"atiide","ATI SATA(IDE) Controller Driver"
"atikmdag","*** Alcohol Soft/DAEMON Tools ***"
"atikmpag","*** UNKNOWN - PLEASE PULL BACK ***"
"atikvmag","ATI Virtual Command and Memory Managemnet"
"atimpab","ATI Display Driver"
"atimpae","ATIRAGE Display Driver"
"atimtai","ATI Rage 128 Family Display Driver"
"atinavrr","ATI Unified AVStream Driver"
"atinmdxx","ATI Specialized MVD VBI Codec"
"atinraxx","ATI WDM Rage Theater Audio Mini Driver"
"atinrvxx","ATI WDM Rage Theater Video Mini Driver"
"ATINTTXX","ATI WDM Teletext Decoder Driver"
"atintuxx","ATI WDM TVTuner Mini Driver"
"atinxsxx","ATI WDM TVAudio Crossbar Mini Driver"
"atiok3x2","ATI RAGE Display Driver"
"AtiPcie","ATI PCIE Driver for ATI PCIE Chipset Driver"
"atipmdag","*** UNKNOWN - PLEASE PULL BACK ***"
"atiraged","ATI RAGE Miniport Driver"
"atiragem","ATI RAGE Miniport Driver"
"atisgkaf","*** Alcohol Soft/DAEMON Tools ***"
"atisgkaf","ATI AGP GART Driver"
"ATITool","ATITool Overclocking Utility Driver"
"atitray","ATI Radeon Omega Tray Driver"
"ativvaxx","ATI Radeon Video Acceleration Universal Driver"
"ATKACPI","ASUS ATK0100 ACPI Utility"
"atkdisp","ASUS Windows 2000/XP Display Driver"
"atkkbnt","ASUS Help Driver for Keyboard Service"
"atkosdmini","ASUS Enhanced Driver"
"atksgt","Tages SA Copy Protection System Driver"
"atl01_03","Attansic L1 Gigabit Ethernet Controller Driver"
"atl01_xp","Attansic L1 Gigabit Ethernet Controller Driver"
"atl02_xp","Attansic Fast Ethernet Controller Driver"
"atldr349","*** UNKNOWN - PLEASE PULL BACK ***"
"Atmarpc","ATM ARP Client Protocol"
"atmarpd","*** SIG2 - FOLLOW GUIDANCE ***"
"atmdkdrv","*** UNITEDRAKE ***"
"atmeltpm","Atmel TPM Driver"
"ATMFD","Windows NT OpenType/Type 1 Font Driver"
"ATMhelpr","Adobe Type Manager Deluxe"
"atmkf7x8","*** Alcohol Soft/DAEMON Tools ***"
"atmuni","Microsoft ATM UNI Call Manager Driver"
"atnicm5","AT PCI Ethernet Network Driver"
"atnicm50","*** Alcohol Soft/DAEMON Tools ***"
"atnicm51","AT NIC NDIS 5.1 Miniport Driver"
"atnicm60","Allied Telesis Fast Ethernet PCI Adapter"
"ATNT40K","WebEx Application Sharing Driver"
"atpmmon","*** KILLSUIT LAUNCHER DRIVER - REMOVE ME ***"
"atpommon","*** UNKNOWN - PLEASE PULL BACK ***"
"atqc71ph","*** Alcohol Soft/DAEMON Tools ***"
"atr68ntr","*** Alcohol Soft/DAEMON Tools ***"
"atrt4oqp","*** Alcohol Soft/DAEMON Tools ***"
"ATSwpDrv","Authentec Slide Fingerprint USB Driver"
"ATSwpWDF","AuthenTec Swipe Sensor WDF USB Driver"
"attdwyp1","*** Alcohol Soft/DAEMON Tools ***"
"atv01nt5","Intel Graphics Accelerator Driver"
"atv02nt5","Intel Graphics Accelerator Driver"
"atv04nt5","Intel Graphics Accelerator Driver"
"atv06nt5","Intel Graphics Accelerator Driver"
"atv10nt5","Intel Graphics Accelerator Driver"
"au151g4b","*** Alcohol Soft/DAEMON Tools ***"
"au4ns5hp","*** Alcohol Soft/DAEMON Tools ***"
"au51p9dh","*** Alcohol Soft/DAEMON Tools ***"
"au562y3v","*** Alcohol Soft/DAEMON Tools ***"
"au5msfb8","*** Alcohol Soft/DAEMON Tools ***"
"au5r0jjk","*** Alcohol Soft/DAEMON Tools ***"
"aucuz7xt","*** Alcohol Soft/DAEMON Tools ***"
"auddrive","ESS AudioDrive Driver"
"audstub","Audio Stub Driver"
"aug20hv4","*** Alcohol Soft/DAEMON Tools ***"
"augp1u48","*** Alcohol Soft/DAEMON Tools ***"
"auh64pe4","*** Alcohol Soft/DAEMON Tools ***"
"auj38xiw","*** Alcohol Soft/DAEMON Tools ***"
"aupkqs0c","*** Alcohol Soft/DAEMON Tools ***"
"auqo0tmi","*** Alcohol Soft/DAEMON Tools ***"
"aut5h3or","*** Alcohol Soft/DAEMON Tools ***"
"autocheck","*** SIG25 - FOLLOW GUIDANCE ***"
"autochk","Microsoft NoxzOES9 Application"
"auueg2p2","*** Alcohol Soft/DAEMON Tools ***"
"auykxtkc","*** Alcohol Soft/DAEMON Tools ***"
"auysipmk","*** Alcohol Soft/DAEMON Tools ***"
"auyvzycg","*** Alcohol Soft/DAEMON Tools ***"
"auzsr6rj","*** Alcohol Soft/DAEMON Tools ***"
"av4y8o5i","*** Alcohol Soft/DAEMON Tools ***"
"av86n1l5","*** Alcohol Soft/DAEMON Tools ***"
"avc","Microsoft AVC Driver"
"avcfg0d6","*** Alcohol Soft/DAEMON Tools ***"
"avcnet","*** UNKNOWN - PLEASE PULL BACK ***"
"AVerA310Cap","AVerMedia DVB-T BDA Driver"
"AVerA310USB","AVerMedia USB Driver"
"AVerBDA3x","AVerMedia BDA TV Tuner Driver"
"averhbtv","*** Alcohol Soft/DAEMON Tools ***"
"AVerM115S","AVerMedia Hybrid H/W MPEG Encoder Driver"
"aveydiz3","*** Alcohol Soft/DAEMON Tools ***"
"avfwim","!!! PSP: Avira AntiVir !!!"
"avfwot","!!! PSP: Avira AntiVir !!!"
"avg7core","!!! PSP: AVG Anti-Virus !!!"
"avg7rsnt","!!! PSP: AVG Anti-Virus !!!"
"avg7rsw","!!! PSP: AVG Anti-Virus !!!"
"avg7rsxp","!!! PSP: AVG Anti-Virus !!!"
"AvgAsCln","!!! PSP: AVG Anti-Spyware !!!"
"avgclean","!!! PSP: AVG Anti-Virus !!!"
"avgfwdx","!!! PSP: AVG Firewall !!!"
"avgfwfd","!!! PSP: AVG Firewall !!!"
"AVGIDSDriver","!!! PSP: AVG Intrusion Detection !!!"
"AVGIDSEH","!!! PSP: AVG IDS !!!"
"AVGIDSErHr","!!! PSP: AVG Intrusion Detection !!!"
"AVGIDSFilter","!!! PSP: AVG Intrusion Detection !!!"
"AVGIDSShim","!!! PSP: AVG Intrusion Detection !!!"
"AVGIDSxx","!!! PSP: AVG Anti-Virus !!!"
"avgio","!!! PSP: Avira AntiVir !!!"
"avgio64","!!! PSP: Avira AntiVir !!!"
"avgldx86","!!! PSP: AVG Anti-Virus !!!"
"avgmfx86","!!! PSP: AVG Anti-Virus !!!"
"avgntdd","!!! PSP: Avira AntiVir !!!"
"avgntflt","!!! PSP: Avira AntiVir !!!"
"avgntmgr","!!! PSP: Avira AntiVir !!!"
"avgrkx86","!!! PSP: AVG Anti-Virus !!!"
"avgtdi","!!! PSP: AVG Anti-Virus !!!"
"avgtdix","!!! PSP: AVG Anti-Virus !!!"
"avidXPserial","Avid Serial Driver"
"avim2rwk","*** Alcohol Soft/DAEMON Tools ***"
"avipbb","!!! PSP: Avira AntiVir !!!"
"avobbl4n","*** Alcohol Soft/DAEMON Tools ***"
"avqwo0jb","*** Alcohol Soft/DAEMON Tools ***"
"avs77978","*** Alcohol Soft/DAEMON Tools ***"
"avwx98yk","*** Alcohol Soft/DAEMON Tools ***"
"avwxhq1i","*** Alcohol Soft/DAEMON Tools ***"
"AW_HOST","Symantec pcAnywhere"
"aw_host5","Symantec pcAnywhere"
"aw2lysxr","*** Alcohol Soft/DAEMON Tools ***"
"aw6gk7vk","*** Alcohol Soft/DAEMON Tools ***"
"awa22uut","*** Alcohol Soft/DAEMON Tools ***"
"AWDDI","Symantec pcAnywhere"
"AWDDI4","Symantec pcAnywhere"
"AWDDI5","Symantec pcAnywhere"
"awechodd","Symantec pcAnywhere"
"awechomd","Symantec pcAnywhere"
"awgz20j1","*** Alcohol Soft/DAEMON Tools ***"
"awksavus","*** Alcohol Soft/DAEMON Tools ***"
"awlegacy","Symantec pcAnywhere"
"awot0ra2","*** Alcohol Soft/DAEMON Tools ***"
"awq8nfy8","*** Alcohol Soft/DAEMON Tools ***"
"awtopiiv","*** Alcohol Soft/DAEMON Tools ***"
"AwUsbSys","AnywhereUSB System Driver"
"awvid5","Symantec pcAnywhere"
"awvideo","Symantec pcAnywhere"
"aww0t35i","*** Alcohol Soft/DAEMON Tools ***"
"ax0b4p8c","*** Alcohol Soft/DAEMON Tools ***"
"axgb42el","*** Alcohol Soft/DAEMON Tools ***"
"axqn3lqn","*** Alcohol Soft/DAEMON Tools ***"
"axrnfkk5","*** Alcohol Soft/DAEMON Tools ***"
"axro7zyh","*** Alcohol Soft/DAEMON Tools ***"
"axsemy0i","*** Alcohol Soft/DAEMON Tools ***"
"axtw7h02","*** Alcohol Soft/DAEMON Tools ***"
"axwmvsts","*** Alcohol Soft/DAEMON Tools ***"
"axx17k7p","*** Alcohol Soft/DAEMON Tools ***"
"axzepq2b","*** Alcohol Soft/DAEMON Tools ***"
"ay01ys44","*** Alcohol Soft/DAEMON Tools ***"
"ay12h11d","*** Alcohol Soft/DAEMON Tools ***"
"ay1ddqyn","*** Alcohol Soft/DAEMON Tools ***"
"ay4f29i9","*** Alcohol Soft/DAEMON Tools ***"
"ay6977wv","*** Alcohol Soft/DAEMON Tools ***"
"ay8vkw8e","*** Alcohol Soft/DAEMON Tools ***"
"AYDrvNT","!!! PSP: ESTsoft ALYac Anti-virus !!!"
"ayedve7i","*** Alcohol Soft/DAEMON Tools ***"
"aygb64wf","*** Alcohol Soft/DAEMON Tools ***"
"ayjx9snh","*** Alcohol Soft/DAEMON Tools ***"
"ayp1731a","*** Alcohol Soft/DAEMON Tools ***"
"ayr10pla","*** Alcohol Soft/DAEMON Tools ***"
"ayrfxgns","*** Alcohol Soft/DAEMON Tools ***"
"ayvvsyyb","*** Alcohol Soft/DAEMON Tools ***"
"ayw7t3rb","*** Alcohol Soft/DAEMON Tools ***"
"az1tbra3","*** Alcohol Soft/DAEMON Tools ***"
"az4m29e1","*** Alcohol Soft/DAEMON Tools ***"
"azcuv4fn","*** Alcohol Soft/DAEMON Tools ***"
"azd0ofvi","*** Alcohol Soft/DAEMON Tools ***"
"azfoyvm3","*** Alcohol Soft/DAEMON Tools ***"
"azi7fy6j","*** Alcohol Soft/DAEMON Tools ***"
"azikrua7","*** Alcohol Soft/DAEMON Tools ***"
"azlgwchg","*** Alcohol Soft/DAEMON Tools ***"
"azpwq3iv","*** Alcohol Soft/DAEMON Tools ***"
"azsflk12","*** UNKNOWN - PLEASE PULL BACK ***"
"aztrbehh","*** Alcohol Soft/DAEMON Tools ***"
"azujeeuq","*** Alcohol Soft/DAEMON Tools ***"
"azw8eok8","*** Alcohol Soft/DAEMON Tools ***"
"b1a18a3e","*** KNOWN MALWARE - FOLLOW GUIDANCE ***"
"b57amd64","Broadcom NetXtreme Gigabit Ethernet Driver"
"b57nd60x","Broadcom NetXtreme Gigabit Ethernet Driver"
"b57w2k","Broadcom NetXtreme Gigabit Ethernet Driver"
"b57xp32","Broadcom NetXreme Gigabit Ethernet Driver"
"Bali","Conexant Soft Data Fax Modem Driver"
"BANTExt","Belarc Advisor Software (System Benchmark)"
"BAPIDRV","!!! PSP: 360 Antivirus !!!"
"bapidrv","!!! PSP: 360 Antivirus !!!"
"basetdi","!!! PSP: Rising Anti-Virus and Firewall !!!"
"BaseTDI","!!! PSP: Rising Anti-Virus and Firewall !!!"
"basfnd","Broadcom NetDetect Driver"
"BASFND","Broadcom NetDetect Driver"
"basic2","Conexant SoftK56 Modem Driver"
"baspw2k","Broadcom Advanced Server Program Driver"
"baspxp32","Broadcom Advanced Server Program Driver"
"BatisPort","P.A.N. BATIS COM Port Dongle Driver"
"BATTC","Microsoft Battery Class Driver"
"BazisVirtualCDBus","WinCDEmu Virtual CDROM Bus Driver"
"bbcap","BB Flash Recorder Mirror Miniport Driver"
"bb-run","Promise Disk Accelerator Driver"
"BC","!!! PSP: Kingsoft Antivirus !!!"
"BC_3DES","Jetico BestCrypt Encryption System"
"BC_BF128","Jetico BestCrypt Encryption System"
"BC_BF448","Jetico BestCrypt Encryption System"
"BC_BFish","Jetico BestCrypt Encryption System"
"BC_CAST","Jetico BestCrypt Encryption System"
"BC_DES","Jetico BestCrypt Encryption System"
"BC_Gost","Jetico BestCrypt Encryption System"
"BC_IDEA","Jetico BestCrypt Encryption System"
"BC_RC6","Jetico BestCrypt Encryption System"
"BC_RIJN","Jetico BestCrypt Encryption System"
"BC_SERP","Jetico BestCrypt Encryption System"
"BC_TFISH","Jetico BestCrypt Encryption System"
"BCAltdi","3Com DMI Agent TDI Driver"
"bcbus","Jetico BestCrypt Encryption System"
"bcfnt","Jetico BestCrypt Volume Encryption"
"bchtsw32","Broadcom HT1000 SATA RAID Controller Driver"
"bcim","!!! PSP: Bandwidth Controller Network Management !!!"
"bcm4sbe5","Broadcom NDIS 5.0 Ethernet Driver"
"bcm4sbxp","Broadcom NDIS 5.1 Ethernet Driver"
"BCMSM","Broadcom V.92 56K Modem Driver"
"bcmwl5","Broadcom 802.11g Network Adapter Wireless Driver"
"bcmwl6","BCM 802.11g Network Adapter Wireless Driver"
"BdaSup","Microsoft BDA Driver Support"
"BdFileSpy","!!! PSP: BullGuard Internet Security !!!"
"bdfm","!!! PSP: BitDefender Internet Security !!!"
"bdfndisf","!!! PSP: BitDefender Internet Security !!!"
"bdfsfltr","!!! PSP: 360 Antivirus !!!"
"bdftdif","!!! PSP: BitDefender Internet Security !!!"
"BDGuard","Baidu Toolbar (Adware)"
"bdisk","*** UNKNOWN - PLEASE PULL BACK ***"
"bdrawpr","!!! PSP: BitDefender Internet Security !!!"
"bdselfpr","!!! PSP: BitDefender Internet Security !!!"
"BDVEDISK","!!! PSP: BitDefender Internet Security !!!"
"Beep","Microsoft BEEP Driver"
"bender","Avid Pinnacle Bender Series Driver"
"Betis","P.A.N. BETIS USB Dongle Driver"
"bfax","Brooktrout Fax and Voice Driver"
"bfsdrv","!!! PSP: 360Safe Security Center !!!"
"BHDrvx86","!!! PSP: Symantec BASH Driver !!!"
"bidpoda","*** UNKNOWN - PLEASE PULL BACK ***"
"bifsgcom","*** KILLSUIT LAUNCHER DRIVER - REMOVE ME ***"
"bihokpkg","*** UNKNOWN - PLEASE PULL BACK ***"
"BIOS","BIOSTAR I/O Interface Driver"
